Timestamp,Link,Name,OS,Mountain,Was WR,challenge name,type,score,chaltype
2021-01-13 12:28:23,https://drive.google.com/open?id=1Fd29m8mMGuplLvlurTBNzmTsNqNSMj6x,Fenrir,Android,Rotkamm,False,The Ice Bowl,Time trial,29.58,Race
2021-01-13 12:29:13,https://drive.google.com/open?id=16CpsWjfGn1F923fKhjQmklkUhQaMz3Mx,Fenrir,Android,Rotkamm,False,The Ice Slope,Time trial,23.45,TTB
2021-01-13 12:30:01,https://drive.google.com/open?id=1n6W746IiiOT1uu8TyV54MK7Av6hpwufn,Fenrir,Android,Rotkamm,False,The River Jumps,Time trial,42.95,Race
2021-01-13 12:30:50,https://drive.google.com/open?id=17BXUcVDtgq40-sa6j5ammVnp6i0SDHCu,Fenrir,Android,Rotkamm,False,The Rollercoaster,Time trial,32.04,Trail
2021-01-13 12:31:37,https://drive.google.com/open?id=1CMdQzxxAXucUSa3uo3XgEBv_slmW_hpY,Fenrir,Android,Rotkamm,False,The Village Run,Time trial,29.29,Race
2021-01-13 16:20:23,https://drive.google.com/open?id=1pTEWAHxrhuHo6v9Qya4fUNKKvIJf0ZM2,Fenrir,Android,Rotkamm,True,Rotkamm Style I,High score,26309.0,Gated Trick
2021-01-13 18:37:56,https://drive.google.com/open?id=1KzIPpWamfBizQEgm-5QEnmhL9VpWLcu6,SYNO,iOS,Rotkamm,True,Rotkamm Style I,High score,41292.0,Gated Trick
2021-01-14 08:51:38,https://drive.google.com/open?id=1SOB-DLoUlKc8fsGIoR3C70gh8msFrwC_,Mountain_Greg,Android,Rotkamm,False,Dropping In,Time trial,20.91,Trail
2021-01-17 13:19:45,https://drive.google.com/open?id=1EXKmi6Tfe8P63EeJrONq4p265CrnM4iT,massiv97,Android,Rotkamm,False,The Village Run,Time trial,27.79,Race
2021-01-17 13:22:05,https://drive.google.com/open?id=1pPEXdQBJ1Xgy_dfQ_-OONMWcs-IZUMR8,massiv97,Android,Rotkamm,False,The Broken Trail,Time trial,40.44,Race
2021-01-17 13:22:59,https://drive.google.com/open?id=1NCzM5QdIwiityI9DhpUUYo08ZBlJtWYs,massiv97,Android,Rotkamm,False,The Green Glades,Time trial,16.69,Race
2021-01-17 13:24:03,https://drive.google.com/open?id=1WISigg7IM3aCPdDX8mv6-QkHVFMdFjMS,massiv97,Android,Rotkamm,False,The River Jumps,Time trial,41.25,Race
2021-01-17 13:24:51,https://drive.google.com/open?id=1pzEOMBXI-ZVXKBSdylTdcJz8KgHWK3rI,massiv97,Android,Rotkamm,False,Skipping Icebergs,Time trial,28.38,Trail
2021-01-17 13:25:34,https://drive.google.com/open?id=1hUq8Y7tmNAvCZUx_CIO7z4F_n3xFXl7b,massiv97,Android,Rotkamm,False,Precision Drops,Time trial,16.73,Trail
2021-01-17 13:27:01,https://drive.google.com/open?id=1gHz3DW-xIugNWHM-vm4Poa5vVoO3LOMi,massiv97,Android,Rotkamm,False,The Ice Slope,Time trial,22.88,TTB
2021-01-17 15:06:06,https://drive.google.com/open?id=1Bxy5RSmqFQvoAbAf81F4WbULOVGz_CmI,massiv97,Android,Rotkamm,False,Dropping In,Time trial,20.73,Trail
2021-01-18 02:03:56,https://drive.google.com/open?id=1EgnPix4JoOzVB68EanYSkQvm687rqlZm,Mountain_Greg,Android,Rotkamm,False,The Ice Slope,Time trial,22.75,TTB
2021-01-18 21:45:18,https://drive.google.com/open?id=1E3JFwwJYQuQm76ogfZ-mXS5Y2RvMZsJ_,SYNO,iOS,Rotkamm,False,The Rollercoaster,Time trial,31.45,Trail
2021-01-18 21:46:23,https://drive.google.com/open?id=1nsczgU3V4SSy10ibqHB32h1ytNRMFQF6,SYNO,iOS,Rotkamm,False,Skipping Icebergs,Time trial,28.23,Trail
2021-01-18 21:47:31,https://drive.google.com/open?id=1_BhU3dxvRNaYIU0aJbekA_-y18G4xWCh,SYNO,iOS,Rotkamm,False,Dropping In,Time trial,20.78,Trail
2021-01-18 21:50:51,https://drive.google.com/open?id=1SxJhNXONgGImGvUH9aCwYJR08OArgKA8,SYNO,iOS,Rotkamm,False,The Ice Slope,Time trial,22.68,TTB
2021-01-20 17:34:25,https://drive.google.com/open?id=1FphveFm8Q9Fuomj3c1Z4wY4qG9TXVzFK,Gjeep302,Android,Rotkamm,False,Corner Flight,High score,6.35,Airtime
2021-01-20 21:14:42,https://drive.google.com/open?id=1XFTgnWL6haLrfMPy0IzL1TMEE3eDM4xN,Gjeep302,Android,Rotkamm,False,The Green Glades,Time trial,16.86,Race
2021-01-21 12:25:18,https://drive.google.com/open?id=18K71dB-69xc3xgPjrDBt2llm-P8P50zI,SYNO,iOS,Rotkamm,False,The River Jumps,Time trial,41.38,Race
2021-01-21 12:28:57,https://drive.google.com/open?id=1LQSqx7TgVsiRPnHTEJnTRzvi_YjCJDru,SYNO,iOS,Rotkamm,False,Precision Drops,Time trial,16.69,Trail
2021-01-21 15:26:48,https://drive.google.com/open?id=1rhjzHIW21Z8szsVG3QH1khS4WubiUft1,Gjeep302,Android,Rotkamm,False,The River Jumps,Time trial,41.08,Race
