Timestamp,Verified?,Link,Name,OS,Mountain,Was WR,challenge name,type,score,chaltype
2021-03-04 14:27:43,Yes,https://drive.google.com/open?id=1WatOT9k-8CeNIkF469WI1jq6AbwrU1hr,BouncyJello,Android,Saint Luvette,True,Aire Maximus,High score,9.2,Airtime
2021-02-18 19:37:02,Yes,https://drive.google.com/open?id=1GuYpWDAdb9LqSTm8Qb6R4TNy7PqWo7S_,BouncyJello,Android,Hirschalm,True,The Glacier Kicker,High score,75.2,Long Jump
2021-02-18 19:37:47,Yes,https://drive.google.com/open?id=1CikznOHERXzPZNxoVVtEaliTJjo2krZO,BouncyJello,Android,Waldtal,True,Rigid Jumps,High score,71.2,Triple Drop
2021-03-07 12:14:37,Yes,https://drive.google.com/open?id=1Ae18RMcfp1EgxUEoh_vI-b3PnOJSByII,SYNO,iOS,Saint Luvette,True,Quel vol,High score,7.38,Airtime
2021-02-18 19:44:46,Yes,https://drive.google.com/open?id=1our76mvUTfEupTeMzv71lvsgXSxgSQQo,BouncyJello,Android,Elnakka,True,Boulder Hill Escape,High score,306.6,Distance
2021-02-18 19:40:01,Yes,https://drive.google.com/open?id=17MisneTIHobonS_87bQ0x781uofhDYwu,BouncyJello,Android,Elnakka,True,Bear Cub Run,High score,16.0,Slap
2020-04-23 12:33:51,Yes,https://drive.google.com/open?id=1q4Hg129k7RB5eNRB8agltJe4-Ccw0Xih,Lars Schrier,iOS,Elnakka,True,The Pist Bully,High score,31.0,Slap
2021-02-10 18:40:31,Yes,https://drive.google.com/open?id=1S_zc1NNGn_Qbwqlyk8fW3nmHUQLJCGyy,BouncyJello,Android,Saint Luvette,True,Baton Rouge,High score,20.0,Slap
2021-07-09 16:50:05,Yes,https://drive.google.com/open?id=1Nblj1Z9t4i0YRaBecmI2CNbO3GS3hHZH,Skier50,iOS,Saint Luvette,True,Le Crazy Jump,High score,20579.0,Single Trick
2021-06-14 11:25:50,Yes,https://drive.google.com/open?id=1aOlpeyZAcPq_gAkTWB9d3jWj_hSsuNBT,hschindele,iOS,Saint Luvette,True,Un Chapeau Courageux,High score,391.8,Distance
2021-07-15 09:23:38,Yes,https://drive.google.com/open?id=1LfbgVMDR6b1SKsWYzPDS96ayziaFv_RX,Skier50,iOS,Saint Luvette,True,Le Cygne,High score,63540.0,Single Trick
2021-07-09 11:39:31,Yes,https://drive.google.com/open?id=1QdTlf_ANV-FPJ8wCxQK_XL_hJPU8tTYi,Skier50,iOS,Saint Luvette,True,Saut Bizarre,High score,27211.0,Gated Trick
2021-07-09 11:40:13,Yes,https://drive.google.com/open?id=1rl42HenBC0yYRxJpF6uQRjCM2OQ2MXEE,Skier50,iOS,Saint Luvette,True,Roi de la Ville,High score,43272.0,Single Trick
2021-06-10 17:31:50,Yes,https://drive.google.com/open?id=1K_GmhLaZ5Wtrj6Qz8SN6baBC1fJxKA7q,Skier50,iOS,Saint Luvette,True,Trix De Ville,High score,51986.0,Gated Trick
2021-07-05 21:12:38,Yes,https://drive.google.com/open?id=1YYxIU_R4p2CGvNbk9OzOS2BAoQXlC5w-,Skier50,iOS,Rotkamm,True,Rotkamm Style I,High score,53932.0,Gated Trick
2021-07-09 11:37:55,Yes,https://drive.google.com/open?id=1bGTe4mV8ygCHxro7V3SKJ731u__4FOiO,Skier50,iOS,Rotkamm,True,Rotkamm Jumper,High score,35446.0,Gated Trick
2021-06-30 19:23:18,Yes,https://drive.google.com/open?id=1J53-yJitD15EozpScwJgVlnTmQcVf7Lg,Skier50,iOS,Rotkamm,True,Sending It,High score,43459.0,Open Trick
2021-04-27 07:22:32,Yes,https://drive.google.com/open?id=1lA_kSjSDHLmPzND_ZgzdgMNkDEvXoL8A,Skier50,iOS,Rotkamm,True,Freeride Heaven,High score,42197.0,Open Trick
2021-02-18 19:49:21,Yes,https://drive.google.com/open?id=1LhTdtRw8IXCjj9ns8djIbvnIg7PuA-vC,BouncyJello,Android,Rotkamm,True,Corner Flight,High score,7.2,Airtime
2021-04-25 09:24:33,Yes,https://drive.google.com/open?id=1iNsqI3LjIq2n01T5XXAUj5JRyR418jxl,Skier50,iOS,Passo Grolla,True,Red Lumber Flow,High score,43101.0,Gated Trick
2021-07-06 12:11:30,Yes,https://drive.google.com/open?id=18hfEmzlLnfvXM3mwjdZQXAuLzf6gjdEd,massiv97,Android,Dalarna,True,Ski Jumping,High score,71.5,Long Jump
2021-03-04 14:15:33,Yes,https://drive.google.com/open?id=1HwxWmIqiR9yx_A9rtpAMzY2lpVYEY6pN,BouncyJello,Android,Rotkamm,True,The Descender,High score,127.1,Triple Drop
2021-07-10 18:56:33,Yes,https://drive.google.com/open?id=1mNCT3SkdvvdRi-JA2tDespXXHrsRFAC8,Skier50,iOS,Ben Ailig,True,The Overshooter,High score,25436.0,Single Trick
2021-05-25 13:42:36,Yes,https://drive.google.com/open?id=1df78EIVVJWXoms9WdMqcU5b3MSK72SNm,Skier50,iOS,Saint Luvette,True,Le Pipe,High score,43089.0,Open Trick
2021-02-20 15:01:47,Yes,https://drive.google.com/open?id=1LX8dvspKUJmrTY-lFoyffzASetB5E3Rp,Jamiemac,Android,Saint Luvette,True,Les Troix Drops,High score,97.3,Triple Drop
2021-05-25 13:40:31,Yes,https://drive.google.com/open?id=1KYOkjpxeiSj7B7kzetd5TtWeaYSJWdjE,Skier50,iOS,Passo Grolla,True,Scoiattolo,High score,31637.0,Gated Trick
2021-05-28 10:17:59,Yes,https://drive.google.com/open?id=1uuhXDfrk86ij-QiEZ6XX_shqKU-WwCep,Skier50,iOS,Passo Grolla,True,Gems Ride,High score,45783.0,Open Trick
2021-07-05 21:14:17,Yes,https://drive.google.com/open?id=1t56gFjllZqn18s9f8taxI8vx7pC1iZif,Skier50,iOS,Mount Fairview,True,The Timber Road Gap,High score,48.0,Single Drop
2021-02-05 22:14:17,Yes,https://drive.google.com/open?id=1s6ta7VCo3KUNYGYZJMzRzMzRd4Qjr1vi,Gjeep302,Android,Mount Fairview,True,Shoot Out,High score,82.3,Single Drop
2021-01-28 13:54:58,Yes,https://drive.google.com/open?id=1N9U0iyX3789TbGgXw9ShB6XSASjzsTlL,James :),Android,Mount Fairview,True,Flutters,High score,7.15,Airtime
2021-03-19 10:04:49,Yes,https://drive.google.com/open?id=1AJXYAGbdCzJXSCFw65E7y-5gimmO7EA1,Skier50,iOS,Mount Fairview,True,The Three Diamonds,High score,146.9,Triple Drop
