Name,Timestamp,type,OS,challenge name,Mountain,score,Points
eFrostyy,2021-02-12 16:02:49,Time trial,Android,Over The Fence,Hirschalm,21.05,4829
hschindele,2021-07-15 11:54:37,Time trial,iOS,Over The Fence,Hirschalm,18.17,28299
massiv97,2021-07-15 3:58:14,Time trial,Android,Over The Fence,Hirschalm,18.84,21600
Avel,2021-02-15 4:25:51,Time trial,iOS,The Shortcut,Hirschalm,25.94,10599
BouncyJello,2020-03-04 18:06:12,Time trial,Android,The Shortcut,Hirschalm,25.47,15300
Fenrir,2021-02-22 17:10:15,Time trial,Android,The Shortcut,Hirschalm,26.29,8179
Gjeep302,2021-01-13 14:55:50,Time trial,Android,The Shortcut,Hirschalm,25.7,13000
Jamiemac,2021-03-18 11:00:28,Time trial,Android,The Shortcut,Hirschalm,25.63,13700
Mountain_Greg,2021-02-15 8:39:03,Time trial,Android,The Shortcut,Hirschalm,25.85,11499
PelagusPlays,2021-03-11 19:59:34,Time trial,iOS,The Shortcut,Hirschalm,27.11,4632
Pinsek,2021-03-09 7:12:26,Time trial,Android,The Shortcut,Hirschalm,25.9,11000
Ryan Monty,2021-02-28 18:08:28,Time trial,Android,The Shortcut,Hirschalm,25.88,11200
SYNO,2021-01-08 16:56:43,Time trial,iOS,The Shortcut,Hirschalm,25.91,10899
Skier50,2021-02-16 18:19:00,Time trial,iOS,The Shortcut,Hirschalm,25.94,10599
Susannah,9/27/2021 19:35:59,Time trial,Android,The Shortcut,Hirschalm,26.3,8122
eFrostyy,2021-02-12 16:03:33,Time trial,Android,The Shortcut,Hirschalm,26.55,6830
hschindele,2021-01-06 10:46:14,Time trial,iOS,The Shortcut,Hirschalm,25.31,16900
massiv97,2021-06-05 6:29:26,Time trial,Android,The Shortcut,Hirschalm,25.7,13000
Avel,2021-02-14 11:21:13,Time trial,iOS,Jumping the Cracks,Hirschalm,24.81,11900
BouncyJello,2021-03-04 19:40:38,Time trial,Android,Jumping the Cracks,Hirschalm,23.29,27100
Fenrir,2021-01-10 18:19:59,Time trial,Android,Jumping the Cracks,Hirschalm,24.83,11700
Gjeep302,2021-01-11 17:51:36,Time trial,Android,Jumping the Cracks,Hirschalm,24.68,13200
Jamiemac,2021-06-20 6:12:52,Time trial,Android,Jumping the Cracks,Hirschalm,24.12,18799
Mountain_Greg,2021-04-04 1:43:40,Time trial,Android,Jumping the Cracks,Hirschalm,23.98,20199
PelagusPlays,2021-03-11 19:56:04,Time trial,iOS,Jumping the Cracks,Hirschalm,26.3,4061
Pinsek,2021-03-09 8:14:48,Time trial,Android,Jumping the Cracks,Hirschalm,24.93,10700
Ryan Monty,2021-04-16 13:26:25,Time trial,Android,Jumping the Cracks,Hirschalm,24.33,16700
SYNO,2021-01-16 13:54:26,Time trial,iOS,Jumping the Cracks,Hirschalm,24.98,10199
Shadow,2020-11-23 18:36:54,Time trial,iOS,Jumping the Cracks,Hirschalm,24.89,11099
Skier50,2021-03-05 11:28:52,Time trial,iOS,Jumping the Cracks,Hirschalm,24.98,10199
Susannah,9/28/2021 11:27:01,Time trial,Android,Jumping the Cracks,Hirschalm,24.91,10899
eFrostyy,2021-02-12 16:04:22,Time trial,Android,Jumping the Cracks,Hirschalm,25.62,6506
hschindele,2020-11-19 22:11:38,Time trial,iOS,Jumping the Cracks,Hirschalm,23.96,20399
massiv97,2021-06-05 6:27:29,Time trial,Android,Jumping the Cracks,Hirschalm,23.94,20599
Avel,2021-04-27 3:49:03,Time trial,iOS,Sightseeing Tour,Hirschalm,23.34,16600
BouncyJello,2021-03-28 16:52:04,Time trial,Android,Sightseeing Tour,Hirschalm,22.34,26600
Fenrir,2021-01-10 18:21:47,Time trial,Android,Sightseeing Tour,Hirschalm,23.93,10700
Gjeep302,2021-01-11 17:48:57,Time trial,Android,Sightseeing Tour,Hirschalm,23.6,13999
Jamiemac,2021-04-01 10:02:06,Time trial,Android,Sightseeing Tour,Hirschalm,22.09,29100
Lars Schrier,2020-04-29 20:26:18,Time trial,iOS,Sightseeing Tour,Hirschalm,23.44,15599
Mountain_Greg,2021-06-14 11:00:27,Time trial,Android,Sightseeing Tour,Hirschalm,22.16,28400
