Timestamp,Verified?,Link,Name,OS,Mountain,Select TT Challenge.10,Enter time as (sec).(mil) EX: 62.69.10,Select HS Challenge.10,Enter score as just a number.10,Challenge Type.9,Was WR,Unnamed: 69,challenge name,type,score,chaltype
2021-09-30 10:27:53,Yes,https://drive.google.com/open?id=163Fr-2W8RIVQVCrLpNcAOhOIdFZBQxpK,Mountain_Greg,Android,Waldtal,,,,,,TRUE,,Waldhorn Voyage,Time trial,53.48,TTB
2022-03-21 6:20:40,Yes,https://drive.google.com/open?id=1g4wtrg9sda3OL5f3d1wTtgtGEn9UWcmv,Jamiemac,Android,Ben Ailig,,,,,,TRUE,,The Swindler,Time Trial,22.99,Race
2021-02-04 21:53:21,Yes,https://drive.google.com/open?id=16fgYabBTE88yEvV5nmj4fYAdW0Rw4cs2,hschindele,iOS,Hirschalm,,,,,,TRUE,Race,The Offpist Trail,Time trial,30.73,Race
2022-02-15 19:57:30,Yes,https://drive.google.com/open?id=1M6V0Q9PDMhQJyTALgPqGLHBz-Y9Prk3p,hschindele,iOS,Waldtal,,,,,,TRUE,,The Woodland Track,Time trial,20.33,Race
2020-12-20 12:02:01,Yes,https://drive.google.com/open?id=13yvrpeyz88yB_KrahN04crgSmZvGCtGR,hschindele,iOS,Elnakka,,,,,,TRUE,Race,The Path Finder,Time trial,33.58,Race
2020-11-15 21:04:16,Yes,https://drive.google.com/open?id=1pdzZw9NHyZnAyItPlRNCuXBrZzZq2a3-,hschindele,iOS,Elnakka,,,,,,TRUE,Race,Super G,Time trial,36.51,Race
2022-03-04 12:24:44,Yes,https://drive.google.com/open?id=1zXf55c21rBr1CizQgFdtBL0KewZ_poCv,Avel,iOS,Elnakka,,,,,,TRUE,,Ellnau Shoulder Track,Time trial,29.73,Race
2021-05-02 16:51:25,Yes,https://drive.google.com/open?id=17co04rZHRuTol4G_o1-vjZYadPy4fBoR,hschindele,iOS,Elnakka,,,,,,TRUE,Trail,Forest Excursion,Time trial,20.62,Trail
2021-12-21 10:25:47,Yes,https://drive.google.com/open?id=1jtFR6xKY-89mhRxM1HDkcqAN-OZspgKX,hschindele,iOS,Elnakka,,,,,,TRUE,,Elnakka West,Time trial,25.5,TTB
2021-12-18 8:24:03,Yes,https://drive.google.com/open?id=1NQ_vEToWOrxkf4q1w5wuVGLW4afS-BEX,hschindele,iOS,Elnakka,,,,,,TRUE,,Across The Clover Ridge,Time trial,38.11,Trail
2021-04-26 14:33:40,Yes,https://drive.google.com/open?id=1H23fq0IYivvZTr1n1GShhdDPb7qVUEQu,BouncyJello,Android,Dalarna,,,,,,TRUE,Race,Malung Scooter Club,Time trial,29.42,Race
2021-03-29 9:41:28,Yes,https://drive.google.com/open?id=10sPJoAWxOSoa4MU_4_So_4RPLJn0lyme,hschindele,iOS,Dalarna,,,,,,TRUE,Race,Follow The Trails Of Wasa,Time trial,27.0,Race
2021-06-25 15:54:22,Yes,https://drive.google.com/open?id=1M3Pd-GMp2_OkdULAdfwPp781KWckWJLF,BouncyJello,Android,Dalarna,,,,,,TRUE,Race,Zick Zack The Lift,Time trial,29.77,Race
2021-03-04 21:19:42,Yes,https://drive.google.com/open?id=1hEgkApS-w3mWVIM4rKczV98ivbrOzrTu,hschindele,iOS,Dalarna,,,,,,TRUE,Race,Follow The Tracks,Time trial,30.61,Race
