Timestamp,Link,Name,OS,Mountain,Select TT Challenge.10,Enter time as (sec).(mil) EX: 62.69.10,Select HS Challenge.10,Enter score as just a number.10,Challenge Type.9,Was WR,Unnamed: 69,challenge name,type,score,chaltype
2021-09-26 8:44:18,https://drive.google.com/open?id=1Qap_BGmm42Q1q65pv4VryfLLel3hS9kC,Avel,iOS,Mount Fairview,,,,,,TRUE,,The Woodland Jam,High score,48181.0,Open Trick
2021-09-26 15:40:56,https://drive.google.com/open?id=1z9ZcpP-dCitKMJ7MFsgMJhyFJ5v4A33i,massiv97,Android,Mount Fairview,,,,,,FALSE,,Ollies Invite Only,High score,39947.0,Gated Trick
2021-09-26 15:41:52,https://drive.google.com/open?id=15_YYn7lsuCMf5GvfgsVEwNrdAGOkrxOE,massiv97,Android,Mount Fairview,,,,,,FALSE,,Best Eagle Cookie Park,High score,21674.0,Gated Trick
2021-09-26 15:42:38,https://drive.google.com/open?id=1XVMbYO8QFwjReEtUrDk2GfGblnppdMjC,massiv97,Android,Mount Fairview,,,,,,FALSE,,Booster Berries,High score,28201.0,Open Trick
2021-09-30 10:24:11,https://drive.google.com/open?id=1Ip0B7NZ4NlNN0BlsMAFw_lSqSAuM3vwD,Mountain_Greg,Android,Mount Fairview,,,,,,TRUE,,The Woodland Jam,High score,43191.0,Open Trick
2021-10-02 13:33:55,https://drive.google.com/open?id=1UXFTJJ3AwhhMMpR23d8t3sHcT7VAlu1F,massiv97,Android,Mount Fairview,,,,,,FALSE,,The Sidehit Road,High score,25673.0,Gated Trick
2021-10-06 20:32:56,https://drive.google.com/open?id=1YGLm-AWZZeaX4FBzNgRQ8wCByElm2iRI,PelagusPlays,iOS,Mount Fairview,,,,,,TRUE,,The Three Diamonds,High score,135.8,Triple Drop
2021-10-09 10:18:28,https://drive.google.com/open?id=1Qlqw8rMgIFzJQUXaGykAjMHgy3qKwCTB,Foxster,Android,Mount Fairview,,,,,,FALSE,,The Woodland Jam,High score,42064.0,Open Trick
2021-10-09 13:51:18,https://drive.google.com/open?id=1FRj0BxY5iId38wx55DXEW6aoGpJXLZqr,Mountain_Greg,Android,Mount Fairview,,,,,,FALSE,,The Woodland Jam,High score,46021.0,Open Trick
2021-10-10 11:18:53,https://drive.google.com/open?id=1JrWv4YlDnUoltYfDXkmGqcn9tfjkllFf,Avel,iOS,Mount Fairview,,,,,,TRUE,,The Woodland Jam,High score,54727.0,Open Trick
2021-10-10 14:32:43,https://drive.google.com/open?id=11q-pfnyEM3HIcc7YFB7hXGzwfAlBHCca,Avel,iOS,Mount Fairview,,,,,,FALSE,,Beaver Creek Dance,Time Trial,25.89,Race
2021-10-10 14:33:33,https://drive.google.com/open?id=1OCSgi7Aewkpf6FNLd2u7Sh8dhLZuecD3,Avel,iOS,Mount Fairview,,,,,,FALSE,,Peregrine Falcon,Time Trial,18.47,Race
2021-10-10 14:34:23,https://drive.google.com/open?id=1WNUcbKWG_AdMcz-UaPeuQ4i1I46Te_R7,Avel,iOS,Mount Fairview,,,,,,FALSE,,The Silver Dragon,Time Trial,15.35,Trail
2021-10-10 14:35:11,https://drive.google.com/open?id=1Rlu1uWjH8Ta60uZwHIzkrEvWWnQorl5H,Avel,iOS,Mount Fairview,,,,,,FALSE,,The Buried Path,Time Trial,42.35,Trail
2021-10-10 14:36:01,https://drive.google.com/open?id=1PC8TyuREtx2kCYcAw0bOrVkK6v8FmpZC,Avel,iOS,Mount Fairview,,,,,,FALSE,,The Woodpecker Trail,Time Trial,49.99,Trail
2021-10-10 14:36:57,https://drive.google.com/open?id=1I2w_oPxbGmLoKu5RaKx1wXZtLesTyjeF,Avel,iOS,Mount Fairview,,,,,,FALSE,,Shadows Trail,Time Trial,57.03,Trail
2021-10-10 14:37:44,https://drive.google.com/open?id=1z_tbtfLt2robJYTbc_TG1nclzqLpalqB,Avel,iOS,Mount Fairview,,,,,,FALSE,,Serenade Summit Race,Time Trial,40.9,TTB
2021-10-10 14:39:48,https://drive.google.com/open?id=1jmDEVFd2WjiWfv2yxs16ynH8IbPvHDsY,Avel,iOS,Mount Fairview,,,,,,FALSE,,Spinel Crest Race,Time Trial,41.56,TTB
2021-10-11 6:48:35,https://drive.google.com/open?id=1KAPE3UYCiBtwBODAw0nhg5GwGKqZpa3Y,massiv97,Android,Mount Fairview,,,,,,TRUE,,Flutters,High score,6.07,Airtime
2021-10-11 6:49:10,https://drive.google.com/open?id=1drkZ3Dncb_JYMEQbk4-qmxSTh7oiEeZk,massiv97,Android,Mount Fairview,,,,,,TRUE,,The Timber Road Gap,High score,45.2,Single Drop
2021-10-11 6:49:56,https://drive.google.com/open?id=1f1xrTp1pUtzYe9sG5ZOj8zeysf-l12VF,massiv97,Android,Mount Fairview,,,,,,TRUE,,The Three Diamonds,High score,137.3,Triple Drop
2021-10-14 12:31:45,https://drive.google.com/open?id=11X_FLDiOsGmVcaa0U6C_Dxv4swhzVpPg,Jamiemac,Android,Mount Fairview,,,,,,FALSE,,The Woodland Jam,High score,48208.0,Open Trick
2021-10-18 14:44:54,https://drive.google.com/open?id=1DoVSPzDymPnsLyMda-Oe9eiCP2-AjU76,massiv97,Android,Mount Fairview,,,,,,TRUE,,Freeride Scout,High score,35219.0,Open Trick
