,Name,score
3,Gjeep302,36.89
4,Jamiemac,36.68
5,Lars Schrier,36.61
6,Mountain_Greg,36.98
7,Pinsek,36.96
8,Ryan Monty,36.82
9,SYNO,36.95
10,Skier50,36.91
11,hschindele,36.51
12,massiv97,36.97
0,Avel,34.49
1,BouncyJello,34.38
2,Chesty,35.88
3,Fenrir,35.67
4,Gjeep302,32.58
5,Gucci Garrett,34.98
6,Jamiemac,33.71
7,Lars Schrier,35.06
8,Mountain_Greg,32.74
9,Pinsek,34.94
10,Ryan Monty,33.1
11,SYNO,32.45
12,Skier50,30.3
13,hschindele,30.71
14,massiv97,34.86
0,Avel,11.18
1,Jamiemac,11.17
2,Mountain_Greg,11.17
3,Skier50,11.18
4,hschindele,10.96
5,massiv97,11.17
0,Avel,22.73
1,Jamiemac,22.72
2,Mountain_Greg,22.48
3,Skier50,22.81
4,hschindele,22.12
5,massiv97,22.16
0,Avel,16.56
1,BouncyJello,17.76
2,Fenrir,18.86
3,Gjeep302,16.93
4,Jamiemac,16.98
5,Mountain_Greg,17.36
6,Pinsek,17.87
7,Ryan Monty,16.95
8,SYNO,17.08
9,Skier50,17.99
10,hschindele,16.34
11,massiv97,17.07
0,Avel,21.37
1,BouncyJello,21.32
2,Fenrir,22.86
3,Gjeep302,21.65
4,Jamiemac,21.45
5,Mountain_Greg,21.55
6,Pinsek,21.78
7,Ryan Monty,21.47
8,SYNO,21.78
9,Shadow,21.43
10,Skier50,21.88
11,SwampfoxAK,21.68
12,hschindele,21.31
13,massiv97,21.51
0,Avel,40.54
1,Fenrir,45.82
2,Gjeep302,40.96
3,Jamiemac,40.56
4,Mountain_Greg,40.01
5,Pinsek,40.78
6,Ryan Monty,40.71
7,SYNO,40.96
8,Skier50,40.84
9,hschindele,39.96
10,massiv97,40.93
0,Avel,15.95
1,BouncyJello,15.98
2,Dylanlew2,16.11
3,Fenrir,16.33
4,Gjeep302,16.22
5,Jamiemac,16.02
6,Lars Schrier,16.74
7,Mountain_Greg,16.17
8,Pinsek,16.44
9,Ryan Monty,16.14
10,SYNO,16.26
11,Skier50,16.26
12,hschindele,15.85
13,massiv97,15.95
0,Avel,21.92
1,BouncyJello,22.22
2,Fenrir,26.09
3,Gjeep302,22.99
4,Jamiemac,20.86
5,Lars Schrier,22.99
6,Mountain_Greg,20.74
7,Pinsek,22.95
8,Ryan Monty,20.64
9,SYNO,22.86
10,Skier50,22.96
11,hschindele,20.62
12,massiv97,22.51
0,Avel,21.36
1,BouncyJello,21.83
2,Fenrir,21.97
3,Gjeep302,21.28
4,Jamiemac,21.01
5,Mountain_Greg,21.1
6,Pinsek,21.35
7,Ryan Monty,21.28
8,SYNO,21.47
9,Skier50,21.13
10,SwampfoxAK,21.61
11,hschindele,20.96
12,massiv97,21.14
0,Avel,8.13
1,Mountain_Greg,8.38
2,Skier50,8.33
3,hschindele,8.28
4,massiv97,8.18
0,Mountain_Greg,16.79
1,Skier50,16.96
2,hschindele,16.72
3,massiv97,16.93
0,Avel,28.85
1,Fenrir,29.88
2,Gjeep302,28.72
3,Jamiemac,26.17
4,Mountain_Greg,25.52
5,Pinsek,28.96
6,Ryan Monty,26.85
7,SYNO,27.96
8,Skier50,28.56
9,hschindele,25.8
10,massiv97,28.58
0,Avel,25.08
1,BouncyJello,22.76
2,Fenrir,26.58
3,Gjeep302,24.52
4,Jamiemac,23.23
5,Mountain_Greg,24.28
6,Pinsek,25.31
7,Ryan Monty,24.77
8,SYNO,25.28
9,Skier50,25.22
10,hschindele,24.16
11,massiv97,25.43
0,Avel,37.2
1,BouncyJello,36.88
2,Fenrir,38.96
3,Gjeep302,37.07
4,Jamiemac,36.49
5,Mountain_Greg,35.82
6,Pinsek,37.42
7,Ryan Monty,36.26
8,SYNO,36.36
9,Skier50,36.82
10,hschindele,35.64
11,massiv97,36.77
0,Avel,33.46
1,BouncyJello,29.42
2,Fenrir,39.08
3,Gjeep302,34.54
4,Jamiemac,31.52
5,Mountain_Greg,32.0
6,Pinsek,34.14
7,Ryan Monty,30.6
8,SYNO,32.15
9,Skier50,33.64
10,hschindele,29.88
11,massiv97,31.97
0,Avel,28.19
1,BouncyJello,28.81
2,Fenrir,28.89
3,Gjeep302,28.27
4,Jamiemac,27.38
5,Mountain_Greg,27.14
6,Pinsek,28.9
7,Ryan Monty,28.23
8,SYNO,28.63
9,Skier50,28.75
10,hschindele,27.0
11,massiv97,28.4
0,Antaris,30.38
1,Avel,30.29
2,BouncyJello,29.77
3,Chesty,30.4
4,Fenrir,30.55
5,Gjeep302,30.16
6,Jamiemac,30.15
7,Mountain_Greg,30.28
8,Pinsek,30.3
9,Ryan Monty,30.15
10,SYNO,30.39
11,Skier50,30.48
12,hschindele,29.99
13,massiv97,30.16
0,Avel,33.78
1,BouncyJello,30.72
2,DeathSpawned,31.85
3,Fenrir,33.14
4,Gjeep302,32.93
5,Jamiemac,31.61
6,Mountain_Greg,31.3
7,Pinsek,32.72
8,Ryan Monty,31.73
9,SYNO,31.52
10,Skier50,32.23
11,hschindele,30.61
12,massiv97,31.75
0,Antaris,29.78
1,Avel,29.86
2,BouncyJello,25.98
3,Fenrir,29.9
4,Gjeep302,29.9
5,Jamiemac,26.13
6,Mountain_Greg,26.9
7,Pinsek,29.92
8,Ryan Monty,28.14
9,SYNO,28.74
10,Skier50,27.2
11,hschindele,26.47
12,massiv97,26.81
0,Avel,25.19
1,BouncyJello,25.01
2,Fenrir,24.69
3,Gjeep302,24.51
4,Jamiemac,24.3
5,Lars Schrier,25.78
6,Mountain_Greg,22.81
7,Pinsek,25.21
8,Ryan Monty,23.68
9,SYNO,22.99
10,Skier50,25.25
11,hschindele,22.72
12,massiv97,24.54
0,Avel,18.92
1,BouncyJello,18.97
2,Fenrir,19.74
3,Gjeep302,18.93
4,Jamiemac,18.21
5,Lars Schrier,19.62
6,Mountain_Greg,17.98
7,Pinsek,18.81
8,Ryan Monty,18.87
9,SYNO,18.16
10,Skier50,18.91
11,hschindele,17.81
12,massiv97,18.98
0,Avel,19.65
1,BouncyJello,19.88
2,Fenrir,20.6
3,Gjeep302,19.34
4,Jamiemac,19.75
5,Mountain_Greg,19.56
6,Pinsek,19.88
7,Ryan Monty,18.73
8,SYNO,19.81
9,Skier50,19.98
10,hschindele,18.71
11,massiv97,19.94
0,Avel,9.63
1,BouncyJello,9.43
2,Fenrir,11.59
3,Gjeep302,8.88
4,Jamiemac,9.0
5,Mountain_Greg,8.96
6,Pinsek,9.57
7,Ryan Monty,9.07
8,SYNO,8.75
9,Skier50,9.61
10,hschindele,8.73
11,massiv97,9.22
0,Avel,40.79
1,BouncyJello,43.61
2,Fenrir,45.81
3,Gjeep302,42.71
4,Jamiemac,39.95
5,Lars Schrier,44.47
6,Mountain_Greg,39.6
7,Pinsek,42.5
8,Ryan Monty,41.6
9,SYNO,42.18
10,Skier50,43.73
11,SwampfoxAK,45.11
12,hschindele,37.34
13,massiv97,42.91
0,Mountain_Greg,41.58
1,Skier50,42.88
2,hschindele,42.26
0,Avel,27.93
1,BouncyJello,27.35
2,Fenrir,29.11
3,Gjeep302,27.86
4,Jamiemac,27.68
5,Mountain_Greg,26.93
6,Pinsek,27.77
7,Ryan Monty,27.56
8,SYNO,27.94
9,Skier50,27.79
10,hschindele,26.62
11,massiv97,27.79
12,waxton,28.71
0,Avel,40.34
1,BouncyJello,40.43
2,DeathSpawned,40.12
3,Fenrir,41.35
4,Gjeep302,39.85
5,Jamiemac,39.63
6,Lars Schrier,40.04
7,Mountain_Greg,39.97
8,Pinsek,40.41
9,Ryan Monty,39.84
10,SYNO,40.46
11,Skier50,40.35
12,hschindele,39.37
13,massiv97,40.07
0,Avel,16.96
1,Fenrir,17.34
2,Gjeep302,16.86
3,Jamiemac,16.71
4,Lars Schrier,16.77
5,Mountain_Greg,16.8
6,Pinsek,16.86
7,Ryan Monty,16.51
8,SYNO,16.95
9,Skier50,16.8
10,hschindele,16.36
11,massiv97,16.69
0,Avel,41.08
1,Fenrir,42.95
2,Gjeep302,41.08
3,Jamiemac,40.36
4,Lars Schrier,41.34
5,Mountain_Greg,40.74
6,Pinsek,41.39
7,Ryan Monty,40.97
8,SYNO,41.38
9,Skier50,40.65
10,hschindele,40.16
11,massiv97,41.25
0,Avel,28.48
1,BouncyJello,27.63
2,Fenrir,29.3
3,Gjeep302,28.22
4,Jamiemac,28.07
5,Mountain_Greg,27.74
6,Pinsek,28.16
7,Ryan Monty,27.99
8,SYNO,28.45
9,Skier50,28.34
10,hschindele,27.41
11,massiv97,28.38
0,Avel,31.24
1,Fenrir,32.04
2,Gjeep302,31.15
3,Jamiemac,31.12
4,Lars Schrier,33.86
5,Mountain_Greg,30.62
6,Pinsek,31.47
7,Ryan Monty,31.14
8,SYNO,30.48
9,Skier50,31.18
10,hschindele,30.4
11,massiv97,30.87
0,Avel,28.36
1,BouncyJello,27.88
2,Fenrir,29.15
3,Gjeep302,28.11
4,Jamiemac,28.08
5,LC43,28.39
6,Mountain_Greg,28.1
7,Pinsek,28.39
8,Ryan Monty,28.19
9,SYNO,28.23
10,Skier50,27.68
11,hschindele,27.56
12,massiv97,28.38
0,Avel,9.32
1,BouncyJello,10.12
2,Fenrir,9.65
3,Gjeep302,9.43
4,Jamiemac,9.29
5,Lars Schrier,9.41
6,Mountain_Greg,9.27
7,Pinsek,9.49
8,Ryan Monty,9.43
9,SYNO,9.47
10,Shadow,9.31
11,Skier50,9.32
12,hschindele,9.0
13,massiv97,9.23
0,Avel,22.83
1,Fenrir,28.07
2,Gjeep302,23.32
3,Jamiemac,23.0
4,Lars Schrier,25.33
5,Mountain_Greg,23.27
6,Pinsek,23.67
7,Ryan Monty,23.66
8,SYNO,23.4
9,Skier50,23.91
10,hschindele,22.5
11,massiv97,23.52
0,Avel,22.83
1,BouncyJello,22.6
2,Fenrir,24.09
3,Gjeep302,22.56
4,Jamiemac,21.98
5,Lars Schrier,22.69
6,Mountain_Greg,22.22
7,Pinsek,22.76
8,Ryan Monty,22.48
9,SYNO,22.54
10,Shadow,22.89
11,Skier50,22.81
12,hschindele,21.75
13,massiv97,22.34
0,Avel,16.15
1,BouncyJello,15.75
2,Fenrir,16.97
3,Gjeep302,16.74
4,Jamiemac,16.57
5,Lars Schrier,16.96
6,Mountain_Greg,16.19
7,Pinsek,16.67
8,Ryan Monty,16.19
9,SYNO,16.69
10,Skier50,16.59
11,hschindele,15.42
12,massiv97,16.73
0,Avel,20.59
1,BouncyJello,20.74
2,Fenrir,25.36
3,Gjeep302,21.45
4,Jamiemac,20.77
5,Lars Schrier,21.41
6,Mountain_Greg,20.91
7,Pinsek,20.63
8,Ryan Monty,20.94
9,SYNO,20.78
10,Skier50,20.89
11,hschindele,20.24
12,massiv97,20.5
0,Avel,24.58
1,BouncyJello,25.69
2,Fenrir,25.84
3,Gjeep302,25.69
4,Jamiemac,25.23
5,Mountain_Greg,25.15
6,Pinsek,25.66
7,Ryan Monty,25.24
8,SYNO,25.07
9,Skier50,25.71
10,hschindele,23.87
11,massiv97,25.38
0,Mountain_Greg,40.65
1,Skier50,40.68
2,hschindele,40.32
0,Avel,22.43
1,Fenrir,23.45
2,Gjeep302,22.77
3,Jamiemac,21.22
4,Mountain_Greg,19.8
5,Pinsek,22.93
6,Ryan Monty,22.27
7,SYNO,22.68
8,Skier50,22.28
9,hschindele,19.83
10,massiv97,22.47
0,Avel,36.83
1,BouncyJello,32.85
2,Gjeep302,33.9
3,Jamiemac,32.31
4,Mountain_Greg,32.14
5,Pinsek,36.33
6,Ryan Monty,33.98
7,SYNO,33.36
8,Skier50,36.81
9,hschindele,31.68
10,massiv97,35.05
0,Avel,22.55
1,BouncyJello,22.92
2,Fenrir,23.47
3,Gjeep302,22.85
4,James :),22.73
5,Jamiemac,22.36
6,LC43,23.01
7,Lars Schrier,22.99
8,Mountain_Greg,22.33
9,Pinsek,22.84
10,Ryan Monty,22.34
11,SYNO,22.38
12,Skier50,22.68
13,hschindele,22.14
14,massiv97,22.44
0,Avel,39.69
1,BouncyJello,37.49
2,Fenrir,41.42
3,Gjeep302,39.07
4,Jamiemac,38.93
5,Lars Schrier,39.29
6,Mountain_Greg,38.94
7,Pinsek,39.96
8,Ryan Monty,39.71
9,SYNO,38.82
10,Skier50,39.61
11,hschindele,38.49
12,massiv97,39.14
0,Avel,22.5
1,BouncyJello,22.47
2,Fenrir,24.17
3,Gjeep302,22.85
4,Jamiemac,21.89
5,LC43,25.74
6,Lars Schrier,23.22
7,Mountain_Greg,20.77
8,Pinsek,22.99
9,Ryan Monty,19.55
10,SYNO,22.5
11,Skier50,21.15
12,hschindele,19.9
13,massiv97,22.94
0,Avel,15.08
1,BouncyJello,13.61
2,Fenrir,15.7
3,Gjeep302,14.94
4,Jamiemac,13.79
5,LC43,15.38
6,Lars Schrier,15.33
7,Mountain_Greg,13.82
8,Pinsek,15.04
9,Ryan Monty,14.88
10,SYNO,13.85
11,Skier50,15.04
12,hschindele,13.53
13,massiv97,14.58
0,Avel,14.19
1,BouncyJello,14.07
2,Fenrir,14.54
3,Gjeep302,14.13
4,Jamiemac,14.09
5,Lars Schrier,13.96
6,Mountain_Greg,14.09
7,Pinsek,14.11
8,Ryan Monty,14.16
9,SYNO,14.14
10,Skier50,14.19
11,hschindele,13.86
12,massiv97,14.14
0,Avel,27.95
1,BouncyJello,28.15
2,Fenrir,28.93
3,Gjeep302,27.64
4,Jamiemac,27.72
5,LC43,28.54
6,Lars Schrier,27.72
7,Mountain_Greg,27.83
8,Pinsek,27.97
9,Ryan Monty,27.96
10,SYNO,27.68
11,Skier50,27.24
12,hschindele,27.14
13,massiv97,27.96
0,Avel,24.11
1,BouncyJello,23.93
2,Fenrir,24.82
3,Gjeep302,24.22
4,Jamiemac,23.7
5,Mountain_Greg,23.37
6,Pinsek,24.43
7,Ryan Monty,23.38
8,SYNO,24.48
9,Skier50,23.37
10,hschindele,22.96
11,massiv97,24.22
0,Avel,10.72
1,BouncyJello,10.75
2,Fenrir,13.62
3,Gjeep302,10.84
4,Jamiemac,10.7
5,Lars Schrier,11.94
6,Mountain_Greg,10.66
7,Pinsek,10.82
8,Ryan Monty,10.94
9,SYNO,10.4
10,Skier50,10.91
11,SwampfoxAK,11.97
12,hschindele,10.36
13,massiv97,10.64
0,Avel,13.62
1,Fenrir,14.93
2,Gjeep302,13.34
3,Jamiemac,13.33
4,Lars Schrier,13.53
5,Mountain_Greg,13.52
6,Pinsek,13.49
7,Ryan Monty,13.62
8,SYNO,13.64
9,Skier50,13.59
10,hschindele,13.27
11,massiv97,13.54
0,Avel,31.8
1,Fenrir,36.18
2,Gjeep302,33.27
3,Jamiemac,30.41
4,Lars Schrier,31.6
5,Mountain_Greg,30.15
6,Pinsek,31.57
7,Ryan Monty,31.91
8,SYNO,29.55
9,Skier50,31.89
10,hschindele,28.81
11,massiv97,30.68
0,Avel,33.97
1,BouncyJello,31.88
2,Fenrir,34.35
3,Gjeep302,32.85
4,Jamiemac,32.62
5,Lars Schrier,34.3
6,Mountain_Greg,32.54
7,Pinsek,33.43
8,Ryan Monty,33.6
9,SYNO,32.78
10,Skier50,33.6
11,hschindele,31.73
12,massiv97,33.37
0,Avel,39.71
1,BouncyJello,41.4
2,Fenrir,44.75
3,Gjeep302,41.42
4,Jamiemac,37.88
5,LC43,44.11
6,Mountain_Greg,37.9
7,Pinsek,40.27
8,Ryan Monty,41.02
9,SYNO,37.78
10,Skier50,38.83
11,hschindele,37.52
12,massiv97,37.9
0,Antaris,55.7
1,Avel,52.3
2,BouncyJello,54.46
3,Fenrir,55.73
4,Gjeep302,53.91
5,James :),52.87
6,Jamiemac,48.78
7,Mountain_Greg,47.93
8,Pinsek,52.53
9,Ryan Monty,51.21
10,SYNO,50.49
11,Skier50,52.84
12,hschindele,48.65
13,massiv97,51.17
0,Mountain_Greg,47.72
1,Skier50,48.01
2,hschindele,48.76
3,massiv97,49.55
0,Avel,12.39
1,BouncyJello,12.25
2,Fenrir,12.42
3,Gjeep302,12.3
4,Jamiemac,12.25
5,Lars Schrier,12.28
6,Mountain_Greg,12.37
7,PelagusPlays,12.55
8,Pinsek,12.39
9,Ryan Monty,12.38
10,SYNO,12.36
11,Shadow,12.38
12,Skier50,12.35
13,hschindele,12.24
14,massiv97,12.16
0,Avel,27.74
1,BouncyJello,27.7
2,Fenrir,27.98
3,Gjeep302,27.79
4,Jamiemac,27.44
5,Mountain_Greg,27.59
6,Pinsek,27.63
7,Ryan Monty,27.59
8,SYNO,27.74
9,Skier50,27.71
10,hschindele,27.42
11,massiv97,27.73
0,Avel,15.5
1,BouncyJello,13.03
2,Fenrir,15.23
3,Gjeep302,13.25
4,Jamiemac,13.06
5,Mountain_Greg,13.12
6,Pinsek,12.79
7,Ryan Monty,13.26
8,SYNO,13.44
9,Skier50,13.45
10,hschindele,12.71
11,massiv97,13.24
0,Avel,9.37
1,BouncyJello,9.1
2,Fenrir,9.67
3,Gjeep302,9.33
4,Jamiemac,9.23
5,Mountain_Greg,9.35
6,Pinsek,9.39
7,Ryan Monty,9.39
8,SYNO,9.38
9,Shadow,9.35
10,Skier50,9.34
11,hschindele,9.18
12,massiv97,9.33
0,Aleflight20,29.75
1,Avel,27.46
2,BouncyJello,26.4
3,Fenrir,28.59
4,Gjeep302,26.82
5,Jamiemac,26.14
6,Mountain_Greg,26.46
7,Pinsek,27.14
8,Ryan Monty,26.73
9,SYNO,27.23
10,Skier50,25.42
11,hschindele,25.39
12,massiv97,27.33
0,Avel,45.33
1,BouncyJello,43.96
2,Fenrir,49.51
3,Gjeep302,44.86
4,Jamiemac,43.74
5,Mountain_Greg,43.84
6,Pinsek,44.85
7,Ryan Monty,43.33
8,SYNO,43.97
9,Skier50,44.92
10,hschindele,43.67
11,massiv97,44.77
0,Avel,31.77
